-181.331, 66.306, 2.892,  7.000
-181.330, 66.161, 2.905,  7.050
-181.329, 66.015, 2.920,  7.100
-181.328, 65.869, 2.935,  7.150
-181.327, 65.721, 2.950,  7.200
-181.326, 65.573, 2.964,  7.250
-181.325, 65.425, 2.978,  7.300
-181.324, 65.275, 2.993,  7.350
-181.324, 65.125, 3.009,  7.400
-181.323, 64.974, 3.024,  7.450
-181.323, 64.822, 3.039,  7.500
-181.323, 64.670, 3.055,  7.550
-181.322, 64.517, 3.069,  7.600
-181.322, 64.363, 3.084,  7.650
-181.322, 64.208, 3.100,  7.700
-181.322, 64.052, 3.116,  7.750
-181.323, 63.896, 3.131,  7.800
-181.323, 63.739, 3.147,  7.850
-181.323, 63.581, 3.163,  7.900
-181.324, 63.422, 3.178,  7.950
-181.324, 63.263, 3.194,  8.000
-181.325, 63.103, 3.210,  8.050
-181.325, 62.942, 3.227,  8.100
-181.326, 62.780, 3.243,  8.150
-181.326, 62.617, 3.259,  8.200
-181.327, 62.454, 3.275,  8.250
-181.328, 62.289, 3.292,  8.300
-181.329, 62.124, 3.309,  8.350
-181.329, 61.958, 3.325,  8.400
-181.330, 61.791, 3.341,  8.450
-181.331, 61.624, 3.358,  8.500
-181.332, 61.455, 3.376,  8.550
-181.333, 61.286, 3.392,  8.600
-181.334, 61.116, 3.409,  8.650
-181.335, 60.945, 3.426,  8.700
-181.336, 60.773, 3.443,  8.750
-181.337, 60.600, 3.460,  8.800
-181.338, 60.426, 3.478,  8.850
-181.339, 60.252, 3.496,  8.900
-181.340, 60.077, 3.513,  8.950
-181.341, 59.900, 3.530,  9.000
-181.342, 59.723, 3.548,  9.050
-181.343, 59.545, 3.566,  9.100
-181.344, 59.366, 3.584,  9.150
-181.345, 59.186, 3.602,  9.200
-181.346, 59.006, 3.620,  9.250
-181.347, 58.824, 3.638,  9.300
-181.349, 58.642, 3.657,  9.350
-181.350, 58.458, 3.675,  9.400
-181.351, 58.274, 3.693,  9.450
-181.352, 58.089, 3.711,  9.500
-181.353, 57.902, 3.731,  9.550
-181.354, 57.715, 3.750,  9.600
-181.355, 57.527, 3.768,  9.650
-181.356, 57.338, 3.786,  9.700
-181.357, 57.148, 3.805,  9.750
-181.358, 56.957, 3.825,  9.800
-181.359, 56.765, 3.845,  9.850
-181.360, 56.572, 3.863,  9.900
-181.361, 56.379, 3.882,  9.950
-181.362, 56.184, 3.902, 10.000
-181.363, 55.988, 3.922, 10.050
-181.364, 55.791, 3.941, 10.100
-181.365, 55.594, 3.960, 10.150
-181.366, 55.395, 3.980, 10.200
-181.367, 55.195, 4.000, 10.250
-181.367, 54.995, 4.020, 10.300
-181.368, 54.793, 4.039, 10.350
-181.369, 54.590, 4.060, 10.400
-181.370, 54.387, 4.080, 10.450
-181.371, 54.182, 4.100, 10.500
-181.372, 53.976, 4.120, 10.550
-181.373, 53.770, 4.140, 10.600
-181.373, 53.562, 4.160, 10.650
-181.374, 53.353, 4.181, 10.700
-181.375, 53.144, 4.202, 10.750
-181.376, 52.933, 4.223, 10.800
-181.376, 52.721, 4.243, 10.850
-181.377, 52.508, 4.264, 10.900
-181.378, 52.294, 4.285, 10.950
-181.378, 52.079, 4.307, 11.000
-181.379, 51.863, 4.328, 11.050
-181.380, 51.646, 4.349, 11.100
-181.380, 51.428, 4.371, 11.150
-181.381, 51.208, 4.393, 11.200
-181.381, 50.988, 4.414, 11.250
-181.382, 50.767, 4.436, 11.300
-181.383, 50.544, 4.458, 11.350
-181.383, 50.321, 4.480, 11.400
-181.384, 50.096, 4.502, 11.450
-181.384, 49.870, 4.525, 11.500
-181.385, 49.643, 4.547, 11.550
-181.385, 49.415, 4.570, 11.600
-181.385, 49.186, 4.593, 11.650
-181.386, 48.955, 4.615, 11.700
-181.386, 48.724, 4.638, 11.750
-181.387, 48.491, 4.662, 11.800
-181.387, 48.257, 4.685, 11.850
-181.388, 48.022, 4.708, 11.900
-181.388, 47.786, 4.731, 11.950
-181.388, 47.549, 4.755, 12.000
-181.389, 47.310, 4.778, 12.050
-181.389, 47.070, 4.802, 12.100
-181.389, 46.829, 4.826, 12.150
-181.390, 46.587, 4.850, 12.200
-181.390, 46.344, 4.875, 12.250
-181.390, 46.099, 4.899, 12.300
-181.391, 45.854, 4.922, 12.350
-181.391, 45.607, 4.947, 12.400
-181.391, 45.359, 4.972, 12.450
-181.391, 45.109, 4.997, 12.500
-181.391, 44.858, 5.022, 12.550
-181.392, 44.607, 5.047, 12.600
-181.392, 44.353, 5.072, 12.650
-181.392, 44.099, 5.098, 12.700
-181.392, 43.843, 5.115, 12.750
-181.392, 43.588, 5.109, 12.800
-181.393, 43.333, 5.093, 12.850
-181.393, 43.079, 5.104, 12.900
-181.393, 42.822, 5.145, 12.950
