294.604, 130.146, 6.208,  6.650 False
294.293, 130.163, 6.235,  6.700 False
293.981, 130.180, 6.264,  6.750 False
293.668, 130.197, 6.294,  6.800 False
293.352, 130.214, 6.325,  6.850 False
293.036, 130.232, 6.358,  6.900 False
292.717, 130.249, 6.393,  6.950 False
292.396, 130.266, 6.430,  7.000 False
292.074, 130.283, 6.469,  7.050 False
291.750, 130.301, 6.509,  7.100 False
291.423, 130.318, 6.552,  7.150 False
291.095, 130.339, 6.594,  7.200 False
290.764, 130.358, 6.639,  7.250 False
290.431, 130.377, 6.685,  7.300 False
290.096, 130.396, 6.730,  7.350 False
289.758, 130.414, 6.775,  7.400 False
289.418, 130.433, 6.820,  7.450 False
289.076, 130.451, 6.863,  7.500 False
288.732, 130.470, 6.905,  7.550 False
288.386, 130.488, 6.945,  7.600 False
288.038, 130.507, 6.985,  7.650 False
287.688, 130.525, 7.022,  7.700 False
287.336, 130.543, 7.059,  7.750 False
286.983, 130.561, 7.096,  7.800 False
286.627, 130.579, 7.132,  7.850 False
286.270, 130.596, 7.168,  7.900 False
285.911, 130.614, 7.205,  7.950 False
285.550, 130.631, 7.242,  8.000 False
285.187, 130.648, 7.279,  8.050 False
284.822, 130.665, 7.317,  8.100 False
284.455, 130.682, 7.356,  8.150 False
284.086, 130.699, 7.395,  8.200 False
283.716, 130.716, 7.435,  8.250 False
283.343, 130.733, 7.476,  8.300 False
282.968, 130.751, 7.520,  8.350 False
282.591, 130.764, 7.564,  8.400 False
282.211, 130.778, 7.610,  8.450 False
281.830, 130.795, 7.653,  8.500 False
281.446, 130.812, 7.699,  8.550 False
281.060, 130.825, 7.743,  8.600 False
280.671, 130.837, 7.788,  8.650 False
280.281, 130.847, 7.827,  8.700 False
279.888, 130.859, 7.866,  8.750 False
279.494, 130.867, 7.901,  8.800 False
279.098, 130.876, 7.938,  8.850 False
278.700, 130.882, 7.972,  8.900 False
278.300, 130.890, 8.007,  8.950 False
277.899, 130.892, 8.039,  9.000 False
277.496, 130.897, 8.075,  9.050 False
277.091, 130.897, 8.108,  9.100 False
276.684, 130.899, 8.142,  9.150 False
276.276, 130.896, 8.171,  9.200 False
275.867, 130.895, 8.201,  9.250 False
275.456, 130.890, 8.224,  9.300 False
275.044, 130.887, 8.245,  9.350 False
274.632, 130.880, 8.261,  9.400 False
274.218, 130.875, 8.274,  9.450 False
273.805, 130.866, 8.281,  9.500 False
273.391, 130.859, 8.286,  9.550 False
272.977, 130.848, 8.286,  9.600 False
272.563, 130.839, 8.284,  9.650 False
272.149, 130.827, 8.280,  9.700 False
271.736, 130.816, 8.275,  9.750 False
271.323, 130.802, 8.269,  9.800 False
270.910, 130.790, 8.263,  9.850 False
270.497, 130.775, 8.256,  9.900 False
270.085, 130.761, 8.251,  9.950 False
269.673, 130.745, 8.246, 10.000 False
269.261, 130.730, 8.242, 10.050 False
268.849, 130.713, 8.239, 10.100 False
268.438, 130.697, 8.238, 10.150 False
